repair_queue_type,repair_reasons,reviewId,rating,publishedDate,text,competitor,year,manual_relevance,manual_user_type,primary_complaint_theme,secondary_complaint_theme,manual_complaint_themes,manual_severity,annotation_method,annotation_status
suspect_ai_label,large_explicit_money_impact_not_high,6a7f249752c0c652ad1dae62,1,2026-08-14 16:22:15+00:00,"I used to love bark com....but they have oversaturated the leads, too many people want them, even if it's come straight in, within 30 seconds someone has responded, they have also increased the credit values for each lead and increased the prices of having to pay for credits. Greed has unfortunately gotten the better of this company...I have 100 percent 5/5 review rate and am always being asked by customers to contact them but by the time I do they've already spoken to two or three cowboys who offer a fair more inferior service...this will become the downfall of bark.com...as the services will be a far more poorer quality, so people won't bother coming back...I think if you have a 5/5 rating you should be offered the lead before others as to keep the quality of the services set at a premium and therefore getting far more returned customers and referrals...their estimate on responses with credits purchased is a complete lie...I recently spent £126 for 60 leads...spoke to one person out all the leads and won the job worth £115....absolute waste of time....such a shame because it was once a fantastic tool to use..... But greed eventually takes priority with these firms. Shame, they've missed the point of what they were doing when the money started rolling in....and be sure of that, their once great marketing tool will become too frustrating for the tradesman and they will quickly retreat....I can't see them lasting much longer if they don't fix the issues. I won't be sticking around much longer unless drastic changes are made...my company made this business look good, I offered a premium service and was close to purchasing 1200 lead for £1620, that was a close call. They can keep the rest of my credits, I can't see that I'll get any leads from this company again, they should be refunding us, but they won't. Greedy greedy greedy. ",Bark,2026,Relevant,Service Provider / Business,Poor ROI / expensive leads,Too much provider competition,Poor ROI / expensive leads | Too much provider competition,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,pricing_theme_may_be_technical_issue,6a7aef863b2da52e19a2564f,2,2026-08-11 11:46:46+00:00,"Bark would not accept  my usual email address, which uses hotmail. I was required to use gmail which I never usually do. Also I couldnt ask in detail for what I wanted which was someone to do light gardening i.e. planting .Bark seems to want to attract only tradesmen doing landscaping or something on a large scale . So I am disappointed.",Bark,2026,Relevant,Customer,Pricing / quote transparency,,Pricing / quote transparency,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,spam_theme_may_be_low_response,6a785098e7d9b11283559f14,2,2026-08-09 12:04:08+00:00,"I had no reply. But next day a lady rang me but I ha sorted a person out.
But would try you again",Bark,2026,Relevant,Customer,Too many provider contacts / spam,,Too many provider contacts / spam,Low,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,spam_theme_may_be_low_response,6a781c01fb533d293f4edd86,1,2026-08-09 08:19:45+00:00,"Ich kann es nur für den Coaching Bereich beurteilen und würde die Plattform nicht empfehlen.
Ja, es gibt viele Anfragen, aber komischerweise liegt die Responsequote bei null, oder es kommt eine Antwort wie: hat sich erledigt.
",Bark,2026,Relevant,Customer,Too many provider contacts / spam,,Too many provider contacts / spam,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,pricing_theme_may_be_technical_issue,6a77d447f2fd7db1374f26dd,1,2026-08-09 03:13:43+00:00,"The greediness of this platform is incredible. They ask for so much money upfront that it doesn't even make sense to try it. Also, is very to delete the account because the platform makes you install the app for it and guess what, sometimes the app isn't available in your region.",Bark,2026,Relevant,Customer,Pricing / quote transparency,Account access / cancellation,Pricing / quote transparency | Account access / cancellation,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,customer_label_with_lead_roi_language,6a76fc76e1dc2efdc093a68b,1,2026-08-08 11:52:54+00:00,I wanted to use this web service but paying £530 for the credits before you have even found a lead is crazy. I'm not spending that to get a £100 job which is not guaranteed that they will accept or even respond after being contacted. It should be on a percentage of the job price when complete. Like 10%! This is not for me. I wont be using this.,Bark,2026,Relevant,Customer,Pricing / quote transparency,,Pricing / quote transparency,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,fake_invalid_leads_without_lead_evidence,6a6decd81eb3e71b3c9c179d,1,2026-08-01 14:55:52+00:00,Faux prospects!!,Bark,2026,Relevant,Service Provider / Business,Fake / invalid leads,,Fake / invalid leads,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,fake_invalid_leads_without_lead_evidence,6a6c6c60597119ae64eca832,1,2026-07-31 11:35:28+00:00,"Was für ein dubioses Unternehmen! Selbst wenn es keine Fake Anfragen wären um Dienstleistern Zeit und Geld zu stehlen, wäre es absoluter Schmutz! Denn es werden unaufgefordert über Bots Firmendaten von potentiellen Auftraggebern gesendet, Datenschutz total egal. Aber es handelt sich dabei eh um Fake Angebote. Tägliche E-Mail Flut wie bei anderen Berichten hier, keine Erreichbarkeit um sich zu beschweren, keine Antwort auf Mails und weiterhin, ganz viele Datenschutzverstöße ungefragt in mein Postfach!

Dazu kommt ein illegales Impressum, eine nicht erreichbare Telefonnummer und viele weitere fadenscheinige ""Geschäftsgebaren"", allen Dienstleistern kann ich sagen, zahlt kein Geld an die Betrüger.
An Unternehmen, schenkt eure Daten nicht an diese Betrüger, sie werden sie hundertfach in zufälligen Spam Mails an irgendwelche Mail Verteiler senden.
",Bark,2026,Relevant,Service Provider / Business,Fake / invalid leads,Privacy / unwanted contact,Fake / invalid leads | Privacy / unwanted contact,High,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,spam_theme_may_be_low_response,6a6780ccca665c52635adb82,1,2026-07-27 18:01:16+00:00,Never received one reply to my request. Obviously companies too busy with plenty of work!,Bark,2026,Relevant,Customer,Too many provider contacts / spam,,Too many provider contacts / spam,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,spam_theme_may_be_low_response,6a6594fd5661c7c37af335af,3,2026-07-26 07:02:53+00:00,"Only got one response for the job I needed doing.
Job was carried out professionally.",Bark,2026,Relevant,Customer,Too many provider contacts / spam,,Too many provider contacts / spam,Low,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,large_explicit_money_impact_not_high,6a649ae44d388eda5d8a44ff,1,2026-07-25 13:15:48+00:00,I was contacted with a man James Delaney he had a business called Columbia. Roofing specialist and gardening a team of three came they set to cutting  the front hedge(well part of it and another hedge around the lawn they cut the lawns I asked them to pull down to plastic sheds which they but left the bases and all the rubble  didn't tidy any of it They professed to be landscape gardeners. They charged me £2000  left after about 3 hours  and don't answer the phone or e mail and messages I jhave been scammed,Bark,2026,Relevant,Customer,Provider quality / no-show,,Provider quality / no-show,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,ai_exclude_recheck,6a641a607ceda5550b09fe2f,2,2026-07-25 04:07:28+00:00,"The food was delivered an hour late. The presentation for a few of the items was non-existent and actually awful - piled in plastic tray. There were three good execution points - the mini cups with chicken satay and peanut sauce, the fruit platter, and the 'look' of the individual charcuterie cups. The substance of the charcuterie cups were mostly fruit and one piece of salami. Everything else - eggrolls, stuffed mushrooms, samosas, cookies, were just piled. When I was asked for $1200 for 20 people, I expected all of the food to be presented at the caliber of the charcuterie and chicken satay cups. If the food looked beautiful, I might have forgiven the lateness or if the food was on time, I might have forgiven the rough presentation, but it was late and overall missed the mark. I wish I could upload a video that I took of the food as it was provided and set up. The pictures that were shown to me, gave me an expectation of how they would be displayed. In the future, you should provide realistic pictures of how your food will look. There are other nicer plastic, single use serving dishes that would have helped the food look better. When showing pictures of  what you've done in the past, be very clear of the containers that the food will come in - the large Costco sandwich tray containers. I feel I should get $400 back to make the cost $40 pp, which already is still above the value of what was received.",Bark,2026,Exclude,Not applicable,Not applicable,,,Not applicable,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
suspect_ai_label,large_explicit_money_impact_not_high,6a638587e8cf25aaddc5f268,2,2026-07-24 17:32:23+00:00,"I have reached the point where I have decided to cancel my Bark subscription because, for my industry, it simply does not provide value for money.

I run a home companionship and domiciliary care business, and leads in this category are extremely expensive. On average, it costs around 24 credits just to contact one customer. At approximately £1.88 per credit, buying £164 worth of credits only allows me to contact around four or five people.

The problem is that many of those leads never respond. When someone eventually does reply, it is often to say they are no longer looking for the service. Most of these conversations happen over the phone, so when I submit a credit review request, Bark asks me to provide evidence. They often tell me they were unable to verify the customer's response themselves and therefore require me to prove that the lead was no longer valid.

This is what I find most frustrating. If Bark cannot verify the validity of the leads on its own platform, how is a service provider expected to do so? I have found myself sending follow-up text messages to customers, asking them to confirm in writing that they are no longer looking for the service purely so I can request a refund for the credits I paid. Some customers reply, but most do not. It is unreasonable to expect providers to chase customers for evidence just to recover credits.

Over time, I estimate I have spent around £1,400 on Bark, in addition to paying the monthly subscription fee. Although I have secured two clients through the platform, the overall return has not justified the amount I have invested. The cost of the leads, combined with the difficulty of recovering credits for invalid leads, makes the platform far too expensive for my business.

I believe Bark should take greater responsibility for verifying leads before charging professionals and should operate a much fairer and more transparent credit refund process. Businesses should not have to prove something that the platform itself says it cannot verify.

Unfortunately, this will be the last month I purchase Bark credits. I cannot continue investing this amount of money for such poor value and an unfair refund process.

",Bark,2026,Relevant,Service Provider / Business,Poor ROI / expensive leads,Billing / refunds,Poor ROI / expensive leads | Billing / refunds,Medium,Ollama qwen3:4b-instruct + frozen V3 codebook + deterministic side check,ai_label_needs_audit
