review_key,competitor,review,stage,error
67de1d7ee333299ac0d33a3b0de358ff55bd4b86264e81c6db5686c9ac424753,Bark,"Total scam! You pay hundreds of dollars for credits only to get fake, bot-generated leads, and they refuse to give actual monetary refunds. Terrible reviews by both pros and customers should checked before I paid 🫪",category,OPENAI_MODEL is not configured.
a3befd7519effa3be8e1046597e4258d1206cd8a245a6ae34efff558a0572fda,Bark,trash 🗑,category,OPENAI_MODEL is not configured.
37164f9f443b916d8225c9385effb54b3164e17981fe1c12f8f97194a54445e0,Bark,"I have a Bark account, just purchased some credits to try it out. It recommended that I download the app. App doesn't seem to have a login for existing users, it wants me to sign up again. Did I miss something?",category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
4a73d38baeae8b88d4cbbc7483b57812976d35f4d6156ed4bdc9fcbfbd662a2e,Bark,"Total waste of time and money. No one on this app is an actual lead. I've spend hundreds of dollars and recieved ZERO work from it. Tried all their ""best practices"" and literally no response at all from any of the fake leads they are pretending are real. 100% avoid at all costs!",category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
23cd06fb45fb6b744ec12913791c1fcb56ac92da52212a026133e0532e4ab456,Bark,"Conversion rate is literally 1 in 30 making it a costly and time expensive exercise. That's not due to my systems, the quality of 'leads' that are directed towards you are shocking. The app definitely needs a tool to foot the bill to the time wasters but then again I might save that for my own version and create a superior app 💁🏼‍♂️",category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
ee200fcbc6f272fc45cde5e7f812cf6751e9f3f8a8e90f24abb3db39125263e2,Bark,"Unlucky , nobody answered me",category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
a4bb50971916af35141a86367baefdb4d798c2952c0a803d7e8034bbd4b4e284,Bark,Keeps asking for an update and will not load.,category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
84841e61c1d65250b342babbef7d8816361754904efab93018e3646ebfaa20ca,Bark,When it started i was very great and 100% helpfull all of a sudden now people requests you call they say they ddnt request ant thing of that sort or they dont answer and your credits willl be gonw i wonder if Bark is verifying wht people wants we are losing a lot of money yet they request for free,category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
ffb4617b8701116da2f9389b30e805eda46ecb1ccab156f5de749ff56ebf6dd9,Bark,Overpriced leads with almost next to nothing on results. Not worth it.,category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
e00bc183f8ac3cc9fc802a66f1490bb01525b8be5d7fc4dc0f226408b6eb0ca3,Bark,"As a vendor who was servicing clients looking for a website, the leads were absolute low tier inquiries. Many of them somehow accidentally submitted the form and the leads were crazy expensive. To access the leads for someone with a budget of $500, you would need to spend between 24 - to 40 credits. Given each credit is roughly 2.8$ so you do the math. Over 100$ to access jobs worth $500. They don't pick up the phone anyway. I have been In sales for 16 years so it's not me :)",category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
da8e54831cf0d3eaaffc6cb991a767135a017946ead8240ccdca483e3ebd8f42,Bark,"Stay save. They saving card details and later use. Was planning to purchase credits, but last minute change mind. BUT THEY SAVED CARD DETAILS WITHOUT PURCHASE CREDITS. They Offered free month elite pro(useless) and was ok with that, i was sure no my card details saved. But they saved and later start charge for useless service. Checked options to remove card details or try cancel useless elite pro, but no option at all. Only save option delete account at all and will keep eye on next bills.",category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
93ffc33c08367cf1825d9a5f472bceda2c2238655a458ec7a9170fa59047c19d,Bark,Worst App for getting business leads it does not help in getting any single leads at least just losing the credits,category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
0fdb389d063ca874cf4ae55d8977288b4495a17bb4fe883b6fa821a315bcf70b,Bark,Do not trust them. They are scamers. There is not option where you can see if job is completed. You can still contact the customer for weeks and you have to pay that (but job is done already by some other trader). I bought credits and now I can not get refund. Waste of the time and money. They didn't return unused credit. Please be aware of this scamers!,category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
2e9f3b3aae6d80cc4cc23c23b3abb6232132c01de63be11f07842ac0dd5f2f8c,Bark,"Way too expensive. 100 credits, £150. Got zero leads. They refunded credits.. still no leads. 90% of them don't reply or answer calls even after 1 minute of the posting. It's a waste of time and money, I'd rather get a local ads, cheaper and brings you the clients instead of contacting fake profiles. Horrible money making company. Boycott it",category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
21c21e4fbadc246eec9674cb065b4e0f7763bb6d986923e107d3444e51fac58d,Bark,This is totally a scam. Waste of money. They don't return the money back. The leads are always people looking for jobs. They says they are hiring. Customer service is the worst. I waste money in this app. Don't fall for it.,category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
004b769124fb74d7368c03a3c08e8b5d0d644870c52a0d2116d1a18e1f7546a1,Yelp,"It's not the application, but hopefully, this changes soon. I am being flagged to open my own business to protect thieves!!!!!",category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
d25a8db42ea22c6d829bfdaacf38e23cd12a9a7461dddd817605a1b6ae4550a2,Yelp,I kind of like Angie's list better,category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
e857e641774e5727646ada212308d2b6ef1ff76cbc7c54c685ca7928206ef819,Yelp,"JACK RABBITT LIMO SERVICE ( SOUTHAMPTON n ALL ME ,,,possible Riders considering Them. But more importantly BEWARE all Limo Drivers working for them . Drop this firm name now forever fro what I was told ___ I called for my Hampton Trips and was quoted Almost dbl Any other + gas would be added. So too excited me they had a nerve to state. ALL DRIVERS TIPPING IS OPTIONAL also.. for we pay them well. Would any cafe diners Ever not post meal $Tip the waitress or bar 15-20 EXTRA..find another",category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
78877bfeee5e1fd2843a5d877284b3885c695c0be147916459fb4e06803a9748,Yelp,"Terrible app and company. Instead of doing something useful for clients for an additional fee, they harm those who don’t pay: the latest photos are shown at the very end, 5-star reviews get deleted, while it’s impossible to remove 1-star reviews even if written by competitors. Even when choosing specific keywords, ads are shown to people who aren’t interested at all. Definitely don’t recommend, Google, Instagram, and Twitter work much better.",category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
ac4c06f8c4e95e6a69fbb7bafee09c50c64ef0f241152f2e8383a8606f4046ea,Yelp,I received 2 notifications but was told by a rep that I received over 200. I never received those and lost out on potential customers,category,"Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
