reviewId,competitor,rating,publishedDate,text,relevance,user_type,user_type_confidence,complaint_themes,severity,manual_relevance,manual_user_type,manual_complaint_themes,manual_severity,manual_notes,annotation_method,annotation_status
693856618715ccee1b2186bf,Checkatrade,2,2025-12-09 19:03:29+00:00,No one responded positively ,Relevant,Customer,Medium,Finding a provider / low response,Medium,Relevant,Customer,Finding a provider / low response,Medium,No positive responses to job request.,AI-assisted annotation by ChatGPT,first_pass_needs_human_audit
6a5506660468ebb3be469520,Yelp,1,2026-07-13 17:38:14+00:00,Yelp is the worst company that I have EVER had the displeasure in working with.  I feel like I got scammed by the company. ,Review,Unknown,Low,Other / Manual Review,Low,Relevant,Unknown,Other,Low,General Yelp scam complaint with no specific experience or theme details.,AI-assisted annotation by ChatGPT,first_pass_needs_human_audit
65fdeeceea64f1dc663b6e4c,Yell,2,2024-03-22 22:49:19+00:00,Well not a bad tho the fact my company could receive a review from a none customer is beyond me I fought my case in regards to this and infact it's quite obvious is fake but after all the emails and the fact it's clear to see what was said was they couldn't remove the fake review was told to ignore and get more customers to bury it with review all I can say is if you put you life into your business and value your reputation don't use Yell as they don't care about lies the only reason I am still using them is that when a customer checks my reviews it ovo that the review is done personally rather than genuine review but ovo Yell don't share the same intelligence ,Relevant,Service Provider / Business,High,Review trust,Medium,Relevant,Service Provider / Business,Review trust | Customer support,Medium,Business says an obviously fake non-customer review could not be removed despite repeated appeals.,AI-assisted annotation by ChatGPT,first_pass_needs_human_audit
67d58026fb2b49ff11b62227,Yelp,1,2025-03-15 15:27:02+00:00,"J’ai vécu une très mauvaise expérience avec Linen Chest concernant l’achat de stores motorisés. Une conseillère est venue chez moi le 5 novembre pour prendre les mesures de mes fenêtres, et j’ai passé ma commande en payant immédiatement.

Après un retard de 15 jours pour la livraison, les stores destinés à la chambre de mon fils sont arrivés endommagés. L’installateur les a repris et a rédigé un rapport. On m’a donné un nouveau rendez-vous, avec un délai déjà long, mais à son arrivée, l’installateur avait encore des stores endommagés. Même scénario pour un troisième rendez-vous : les stores étaient toujours abîmés.

Pendant tout ce temps, aucun suivi de la part de la conseillère qui était venue prendre les mesures. Après plusieurs appels et beaucoup de frustration, j’ai fini par accepter un remboursement tout en gardant les stores endommagés, car j’étais tout simplement épuisé par cette situation.",Review,Unknown,Low,Other / Manual Review,Low,Exclude,Not applicable,Not applicable,Not applicable,"Review is solely about Linen Chest products/service, not Yelp.",AI-assisted annotation by ChatGPT,first_pass_needs_human_audit
69c128aae69670358f2451fe,Checkatrade,3,2026-03-23 13:48:58+00:00,"The guy misdiagnosed the problem of the leak. There wasn’t any damp on the ceiling only the bottom of the wall next to the toilet. He put a flexipipe in the loft? But the leak was still there in the bathroom.  I mentioned that it was probably the toilet. He fitted something into the cistern and the leak stopped. I paid him £180 the first time he came. Luckily he didn’t ask for more the second visit. 
",Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Customer,Provider quality | Pricing / quote transparency,Medium,"Tradesperson misdiagnosed leak, required return visit and charged £180 initially.",AI-assisted annotation by ChatGPT,first_pass_needs_human_audit
6a767607bf74fc8c7675b909,Yelp,1,2026-08-08 02:19:19+00:00,Worst Review Platform. I don't know who still uses yelp in 2026 but Google is way better IMO. Yelp has a been riddled with fake accounts.,Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Unknown,Review trust,Medium,General Yelp review-platform complaint alleging fake accounts.,AI-assisted annotation by ChatGPT,first_pass_needs_human_audit
6a4659b8b78a495ec6c48b78,Yell,1,2026-07-02 14:29:44+00:00,"I submitted a full listing, was told approval takes 2 days, and heard nothing for 4. I contacted customer service to chase the approval and, at the same time, clearly stated I did not want my phone number published. Nobody told me this was a problem. They said the request had been escalated to get the listing approved.

A day later I got a call that turned out to be a long, mandatory SEO sales pitch, I was asked about pricing, margins, travel radius, website traffic, and more, all framed as necessary to ""list my business,"" while being used to push their paid services. I told the agent repeatedly, multiple times, that I did not want my number listed. He said ""OK"" each time. At the end of the call, he told me the listing was published. I checked the listing and found my number published, against explicit instructions I'd now given to two separate people. I went to live chat to get it removed. Instead of addressing what I'd actually said, I was met with a wall of scripted ""guidelines"" language, repeated regardless of what I typed. When I explicitly stated I was revoking my consent under GDPR, they didn't engage with that at all, just more guidelines, as if their internal policy overrides UK data protection law.

This isn't a case of me not understanding how the platform works. I gave clear, repeated, explicit instructions to two different people before anything was published, and was actively reassured both times. Yell published my personal data anyway, then treated a formal GDPR consent withdrawal as something to be managed with a script rather than a legal right. Followed all this up with an unsolicited email telling me what's ""wrong"" with my SEO.

I've now spent hours dealing with a problem they created, on top of a sales process that used data-gathering as leverage before I'd even agreed to anything.

If you're a business with any reason to keep your number off a public listing, be aware that ""no"" does not seem to register with their staff until it's already too late.",Relevant,Service Provider / Business,High,Privacy / unwanted contact | Unresponsive leads,Medium,Relevant,Service Provider / Business,Privacy / unwanted contact | Customer support | Misleading claims / transparency,High,Yell allegedly published personal phone number against explicit instructions and ignored GDPR consent withdrawal while pushing sales.,AI-assisted annotation by ChatGPT,first_pass_needs_human_audit
6a294026975a03055d1deef7,Checkatrade,1,2026-06-10 12:44:54+00:00,"Awful, stressful experience all round completely miss sold their product and the worst customer service I’ve ever had to endure. 

Avoid at all costs.",Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Service Provider / Business,Misleading claims / transparency | Customer support,Medium,Tradesperson says product was mis-sold and customer service was exceptionally poor.,AI-assisted annotation by ChatGPT,first_pass_needs_human_audit
66f5777a64967551f4726d49,Yell,3,2024-09-26 17:02:18+00:00,You tell me you will get loads of work for wot I pay a month have ad 2 jobs off it,Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Service Provider / Business,Poor ROI / expensive leads,Medium,Business says promised work volume did not materialise.,AI-assisted annotation by ChatGPT,first_pass_needs_human_audit
68c1701d3e55db31225ccfd9,Checkatrade,3,2025-09-10 14:33:33+00:00,"Did not get any response. 
Disappointed  really",Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Customer,Finding a provider / low response,Medium,Customer received no response.,AI-assisted annotation by ChatGPT,first_pass_needs_human_audit
